University_link,Picture_Url,University_Name,nation_flag_picture,Country,City,Rank_In_World,Description,Global_Score,Enrollment,city_latitude,city_longitude,country_latitude,country_longitude
https://www.usnews.com/education/best-global-universities/australian-national-university-503825,https://www.usnews.com/object/image/00000157-9042-ddc3-af5f-dbebc79a0000/$161004_ANU?size=responsive300&update-time=1475594208348,Australian National University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Canberra,#62,The Australian National University was founded in 1946. The public institution’s main Acton Campus is located in...,73.9,"16,758",-35.2975906,149.1012676,-24.7761086,134.755
https://www.usnews.com/education/best-global-universities/university-of-manchester-500273,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Manchester,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/GBR.svg,United Kingdom,Manchester,#63,,73.8,,53.4794892,-2.2451148,54.7023545,-3.2765753
https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444,https://www.usnews.com/object/image/0000016c-9c0a-d1ec-a97f-9c0ac2330000/$190816university_of_wisconsin--madison18?size=responsive300&update-time=,University of Wisconsin Madison,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Madison,#63,"The University of Wisconsin—Madison, founded in 1848, is a public university located in the U.S. Midwest. Madison is the...",73.8,"40,701",43.074761,-89.3837613,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Erasmus University Rotterdam,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NLD.svg,Netherlands,Rotterdam,#65,"Erasmus University Rotterdam is a public institution that traces its roots back to 1913. However, the university did not...",73.4,,51.9244424,4.47775,52.2434979,5.6343227
https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705,https://www.usnews.com/object/image/00000158-689d-d46e-a7fe-6cbf99a30000/$161115_UCSantaBarbara?size=responsive300&update-time=1479223988936,University of California Santa Barbara,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Santa Barbara,#67,"The University of California—Santa Barbara, or UCSB, is a public university that traces its roots back to 1891. The...",73.3,,34.4221319,-119.702667,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/boston-university-164988,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Boston University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Boston,#70,,73.1,"27,243",42.3554334,-71.060511,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-colorado-boulder-126614,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Colorado Boulder,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Boulder,#70,,73.1,"34,928",40.0149856,-105.270545,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/emory-university-139658,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Emory University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Atlanta,#72,,73.0,"13,190",33.7489924,-84.3902644,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of California Davis,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Davis,#73,,72.9,,40.7474784,-92.3965311,39.7837304,-100.445882
https://www.usnews.com/education/best-global-universities/leiden-university-503069,https://www.usnews.com/static-atlas/assets/img/education/education.svg,Leiden University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/NLD.svg,Netherlands,Leiden,#74,"Leiden University is a public institution that was founded in 1575, making it the oldest university in the Netherlands...",72.8,,52.1594747,4.4908843,52.2434979,5.6343227
https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Adelaide,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Adelaide,#74,,72.8,"23,102",-34.9281805,138.5999312,-24.7761086,134.755
