college_name,college_details_link,college_city_name,college_address,subject1,subject1_link,subject2,subject2_link,subject3,subject3_link,subject4,subject4_link,college_review_link,write_review_link,college_course_list_link,college_contact_detail_link,college_city_latitude,college_city_longitude,college_address_latitude,college_address_longitude
"Kyamin Secondary School,",https://www.collegenp.com/college/kyamin-secondary-school/,Tanahun,"Kyamin, Tanahun",Ten Plus Two in Education,https://www.collegenp.com/course/kyamin-secondary-school-ten-plus-two-in-education-2-education/,,,,,,,https://www.collegenp.com/college/kyamin-secondary-school/#discussion,https://www.collegenp.com/college/kyamin-secondary-school/write-review/,https://www.collegenp.com/college/kyamin-secondary-school/#course-list,https://www.collegenp.com/college/kyamin-secondary-school/#contact-detail,27.93550785,84.22364600336068,28.05870665,84.26193948842416
"LA GRANDEE International College,",https://www.collegenp.com/college/la-grandee-international-college-pokhara/,Pokhara,"Simalchaur, Pokhara",Bachelor of Business Administration (BBA),https://www.collegenp.com/course/la-grandee-international-college-pokhara-bachelor-of-business-administration-bba-bba/,Bachelor of Computer Application (BCA),https://www.collegenp.com/course/la-grandee-international-college-pokhara-bachelor-of-computer-application-bca-bca/,Bachelor of Public Health (BPH),https://www.collegenp.com/course/la-grandee-international-college-pokhara-bachelor-of-public-health-bph-bph/,,,https://www.collegenp.com/college/la-grandee-international-college-pokhara/#discussion,https://www.collegenp.com/college/la-grandee-international-college-pokhara/write-review/,https://www.collegenp.com/college/la-grandee-international-college-pokhara/#course-list,https://www.collegenp.com/college/la-grandee-international-college-pokhara/#contact-detail,28.209538,83.991402,28.2618765,83.8935649
"Laboratory Secondary School,",https://www.collegenp.com/college/laboratory-secondary-school-kathmandu/,Kathmandu,"Kirtipur, Kathmandu",Ten Plus Two (+2) Management,https://www.collegenp.com/course/laboratory-secondary-school-kathmandu-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/laboratory-secondary-school-kathmandu-ten-plus-two-2-science-2-science/,,,,,https://www.collegenp.com/college/laboratory-secondary-school-kathmandu/#discussion,https://www.collegenp.com/college/laboratory-secondary-school-kathmandu/write-review/,https://www.collegenp.com/college/laboratory-secondary-school-kathmandu/#course-list,https://www.collegenp.com/college/laboratory-secondary-school-kathmandu/#contact-detail,27.708317,85.3205817,27.676664,85.2782438
"Lahan Sagarmatha Educational Academy,",https://www.collegenp.com/college/lahan-sagarmatha-educational-academy-siraha/,Siraha,"Lahan, Siraha",PCL Nursing (Staff Nurse),https://www.collegenp.com/course/lahan-sagarmatha-educational-academy-siraha-pcl-nursing-staff-nurse-staff-nurse/,,,,,,,https://www.collegenp.com/college/lahan-sagarmatha-educational-academy-siraha/#discussion,https://www.collegenp.com/college/lahan-sagarmatha-educational-academy-siraha/write-review/,https://www.collegenp.com/college/lahan-sagarmatha-educational-academy-siraha/#course-list,https://www.collegenp.com/college/lahan-sagarmatha-educational-academy-siraha/#contact-detail,26.74167025,86.34943521246359,26.75749385,86.47210575215527
"Lahan Technical School,",https://www.collegenp.com/college/lahan-technical-school-siraha/,Siraha,"Lahan , Siraha",Diploma in Agriculture (Plant Science),https://www.collegenp.com/course/lahan-technical-school-siraha-diploma-in-agriculture-plant-science-diploma-in-agriculture/,Diploma in Argiculture (Veterinary Science,https://www.collegenp.com/course/lahan-technical-school-siraha-diploma-in-argiculture-veterinary-science-diploma-in-agriculture/,Diploma in Civil Engineering,https://www.collegenp.com/course/lahan-technical-school-siraha-diploma-in-civil-engineering-diploma-in-engineering/,Diploma in Ophthalmic Science,https://www.collegenp.com/course/lahan-technical-school-siraha-diploma-in-ophthalmic-science-diploma-in-engineering/,https://www.collegenp.com/college/lahan-technical-school-siraha/#discussion,https://www.collegenp.com/college/lahan-technical-school-siraha/write-review/,https://www.collegenp.com/college/lahan-technical-school-siraha/#course-list,https://www.collegenp.com/college/lahan-technical-school-siraha/#contact-detail,26.74167025,86.34943521246359,26.75749385,86.47210575215527
"Lake City College and Research Centre,",https://www.collegenp.com/college/lake-city-college-and-research-centre-pokhara/,Pokhara,"Gairapatan, Pokhara",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/lake-city-college-and-research-centre-pokhara-bachelor-of-business-studies-bbs-bbs/,Bachelor of Arts (BA),https://www.collegenp.com/course/lake-city-college-and-research-centre-pokhara-bachelor-of-arts-ba-ba/,,,,,https://www.collegenp.com/college/lake-city-college-and-research-centre-pokhara/#discussion,https://www.collegenp.com/college/lake-city-college-and-research-centre-pokhara/write-review/,https://www.collegenp.com/college/lake-city-college-and-research-centre-pokhara/#course-list,https://www.collegenp.com/college/lake-city-college-and-research-centre-pokhara/#contact-detail,28.209538,83.991402,28.2267081,83.9876133
"Laligurans Batika Secondary School,",https://www.collegenp.com/college/laligurans-baitka-secondary-school-kathmandu/,Kathmandu,"Koteshwor, Kathmandu",Ten Plus Two (+2) Management,https://www.collegenp.com/course/laligurans-baitka-secondary-school-kathmandu-ten-plus-two-2-management-2-management/,,,,,,,https://www.collegenp.com/college/laligurans-baitka-secondary-school-kathmandu/#discussion,https://www.collegenp.com/college/laligurans-baitka-secondary-school-kathmandu/write-review/,https://www.collegenp.com/college/laligurans-baitka-secondary-school-kathmandu/#course-list,https://www.collegenp.com/college/laligurans-baitka-secondary-school-kathmandu/#contact-detail,27.708317,85.3205817,27.6758169,85.3384848
"Laligurans English Secondary School, Lalitpur,",https://www.collegenp.com/college/laligurans-english-secondary-school-lalitpur/,Lalitpur,"Bodegaun, Lalitpur",Ten Plus Two in Management,https://www.collegenp.com/course/laligurans-english-secondary-school-lalitpur-ten-plus-two-in-management-2-management/,,,,,,,https://www.collegenp.com/college/laligurans-english-secondary-school-lalitpur/#discussion,https://www.collegenp.com/college/laligurans-english-secondary-school-lalitpur/write-review/,https://www.collegenp.com/college/laligurans-english-secondary-school-lalitpur/#course-list,https://www.collegenp.com/college/laligurans-english-secondary-school-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.66490635,85.3293451574824
"Laligurans Rastriya College (LRC),",https://www.collegenp.com/college/laligurans-rastriya-college-lrc-kathmandu/,Kathmandu,"New Baneshwor, Kathmandu",Ten Plus Two (+2) Management,https://www.collegenp.com/course/laligurans-rastriya-college-lrc-kathmandu-ten-plus-two-2-management-2-management/,Ten Plus Two (+2) Humanities,https://www.collegenp.com/course/laligurans-rastriya-college-lrc-kathmandu-ten-plus-two-2-humanities-2-humanities/,Ten Plus Two (+2) Science,https://www.collegenp.com/course/laligurans-rastriya-college-lrc-kathmandu-ten-plus-two-2-science-2-science/,Bachelor of Business Studies (BBS),https://www.collegenp.com/course/laligurans-rastriya-college-lrc-kathmandu-bachelor-of-business-studies-bbs-bbs/,https://www.collegenp.com/college/laligurans-rastriya-college-lrc-kathmandu/#discussion,https://www.collegenp.com/college/laligurans-rastriya-college-lrc-kathmandu/write-review/,https://www.collegenp.com/college/laligurans-rastriya-college-lrc-kathmandu/#course-list,https://www.collegenp.com/college/laligurans-rastriya-college-lrc-kathmandu/#contact-detail,27.708317,85.3205817,27.6898474,85.3355282
"Lalit Multiple Campus,",https://www.collegenp.com/college/lalit-multiple-campus-lalitpur/,Lalitpur,"Pulchowk, Lalitpur",Bachelor of Business Studies (BBS),https://www.collegenp.com/course/lalit-multiple-campus-lalitpur-bachelor-of-business-studies-bbs-bbs/,Bachelor of Education (B.Ed),https://www.collegenp.com/course/lalit-multiple-campus-lalitpur-bachelor-of-education-bed-bed/,Master of Education (M.Ed),https://www.collegenp.com/course/lalit-multiple-campus-lalitpur-master-of-education-med-med/,,,https://www.collegenp.com/college/lalit-multiple-campus-lalitpur/#discussion,https://www.collegenp.com/college/lalit-multiple-campus-lalitpur/write-review/,https://www.collegenp.com/college/lalit-multiple-campus-lalitpur/#course-list,https://www.collegenp.com/college/lalit-multiple-campus-lalitpur/#contact-detail,24.70038485,78.51866758648347,27.6785667,85.3151831
